[1612523513827],"com.nike.plusgps.challenges.onboarding.ChallengesOnboardingActivity"
[1612523514267],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523517211],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523520636],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523522111],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523526209],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523526836],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523527431],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523528646],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523529247],"com.nike.plusgps.profile.PreferencesActivity"
[1612523529453],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523532903],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523533517],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523536572],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523539737],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523541565],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612523544403],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523548480],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523549321],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523550629],"com.nike.plusgps.profile.ProfileActivity"
[1612523552249],"com.nike.plusgps.profile.MemberCardActivity"
[1612523554711],"com.nike.plusgps.profile.ProfileActivity"
[1612523554914],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523555930],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523557792],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523560254],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523568621],"com.nike.plusgps.rundetails.insights.InsightsActivity"
[1612523569248],"com.nike.plusgps.rundetails.RunDetailsActivity"
[1612523569881],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523570086],"com.nike.plusgps.activities.ActivitiesActivity"
[1612523570585],"com.nike.plusgps.profile.ProfileActivity"
[1612523577085],"com.nike.plusgps.profile.MemberCardActivity"
[1612523580745],"com.nike.plusgps.profile.ProfileActivity"
[1612523581151],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523583367],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1612523584386],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523586249],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523596717],"com.nike.plusgps.audioguidedrun.onboarding.AudioGuidedRunOnboardingActivity"
[1612523596943],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523597170],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523598024],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523599949],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523600777],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523600972],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523602009],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523602211],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523602624],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523604985],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523605402],"com.nike.plusgps.challenges.about.ChallengesAboutActivity"
[1612523606625],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523608450],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523609458],"com.nike.plusgps.challenges.about.ChallengesAboutActivity"
[1612523611109],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523611530],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523614162],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523614374],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523614977],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523616000],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523616807],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523617430],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523621290],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523622731],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523624565],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523624997],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523627421],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523632516],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523633133],"com.nike.plusgps.challenges.about.ChallengesAboutActivity"
[1612523640478],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523640685],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523642532],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523643326],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523647798],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523648803],"com.nike.plusgps.challenges.detail.ChallengesDetailActivity"
[1612523651427],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1612523653839],"com.nike.plusgps.profile.ProfileActivity"
[1612523654431],"com.nike.plusgps.profile.PreferencesActivity"
[1612523655674],"com.nike.plusgps.profile.PartnerActivity"
[1612523656558],"com.nike.plusgps.profile.PreferencesActivity"
[1612523657498],"com.nike.plusgps.profile.AboutActivity"
[1612523657705],"com.nike.plusgps.profile.PreferencesActivity"
[1612523657919],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523659260],"com.nike.plusgps.profile.PreferencesActivity"
[1612523663757],"com.nike.plusgps.widgets.webview.WebViewActivity"
[1612523664160],"com.nike.plusgps.profile.PreferencesActivity"
[1612523664361],"com.nike.plusgps.profile.PreferencesActivity"
[1612523665052],"com.nike.plusgps.profile.PreferencesActivity"
[1612523666650],"com.nike.plusgps.profile.PreferencesActivity"
[1612523667876],"com.nike.plusgps.profile.PreferencesActivity"
[1612523669556],"com.nike.plusgps.profile.PreferencesActivity"
[1612523674763],"com.nike.plusgps.profile.AcknowledgementsActivity"
[1612523675859],"com.nike.plusgps.profile.PreferencesActivity"
[1612523680627],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523684700],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523684966],"com.nike.plusgps.profile.PreferencesActivity"
[1612523687125],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523687593],"com.nike.plusgps.profile.PreferencesActivity"
[1612523687998],"com.nike.plusgps.profile.PreferencesActivity"
[1612523688416],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523689375],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523691454],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523692613],"com.nike.plusgps.preferences.notification.NotificationPreferencesActivity"
[1612523694899],"com.nike.plusgps.profile.PreferencesActivity"
[1612523695234],"com.nike.plusgps.profile.PreferencesActivity"
[1612523698263],"com.nike.plusgps.profile.PreferencesActivity"
[1612523698876],"com.nike.plusgps.profile.PreferencesActivity"
[1612523699297],"com.nike.plusgps.profile.PreferencesActivity"
[1612523699905],"com.nike.plusgps.profile.PreferencesActivity"
[1612523700508],"com.nike.plusgps.profile.PreferencesActivity"
[1612523700927],"com.nike.plusgps.profile.ProfileActivity"
[1612523702992],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523706447],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523707455],"com.nike.plusgps.runlanding.RunLandingActivity"
[1612523707873],"com.nike.plusgps.runlanding.RunLandingActivity"
