[1613637043276],"com.nike.plusgps.challenges.onboarding.ChallengesOnboardingActivity"
[1613637044909],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1613637047820],"com.nike.plusgps.challenges.landing.ChallengesLandingActivity"
[1613637051975],"com.nike.plusgps.activities.ActivitiesActivity"
[1613637052966],"com.nike.plusgps.activities.ActivitiesActivity"
[1613637053940],"com.nike.plusgps.activities.ActivitiesActivity"
[1613637054983],"com.nike.plusgps.activities.achievements.AchievementDetailActivity"
[1613637064920],"com.nike.plusgps.activities.ActivitiesActivity"
[1613637066797],"com.nike.plusgps.activities.achievements.AchievementDetailActivity"
[1613637069302],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637072282],"com.nike.music.ui.browse.BrowseActivity"
[1613637079448],"com.nike.music.ui.browse.BrowseActivity"
[1613637080360],"com.nike.music.ui.browse.BrowseActivity"
[1613637086875],"com.nike.plusgps.audioguidedrun.onboarding.AudioGuidedRunOnboardingActivity"
[1613637090473],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637102838],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637106808],"com.nike.plusgps.inrun.runcountdown.RunCountdownActivity"
[1613637107832],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637110718],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1613637111840],"com.nike.plusgps.preferences.audiofeedback.AudioFeedbackPreferencesActivity"
[1613637115154],"com.nike.plusgps.preferences.audiofeedback.AudioFeedbackPreferencesActivity"
[1613637117454],"com.nike.plusgps.preferences.audiofeedback.AudioFeedbackPreferencesActivity"
[1613637121488],"com.nike.plusgps.preferences.audiofeedback.AudioFeedbackPreferencesActivity"
[1613637128284],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1613637130916],"com.nike.plusgps.preferences.RunPreferencesActivity"
[1613637132092],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637139410],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637140341],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637142691],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637143686],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637153461],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637155288],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637156227],"com.nike.music.ui.browse.BrowseActivity"
[1613637157169],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637159208],"com.nike.plusgps.audioguidedrun.detail.AudioGuidedRunDetailsActivity"
[1613637165324],"com.nike.plusgps.cheers.CheersOptInActivity"
[1613637179857],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637198330],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1613637203813],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637209905],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637211040],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637212159],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637218116],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637218980],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637219938],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637220776],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637255327],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637309206],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637332089],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637333200],"com.nike.plusgps.coach.setup.CoachSetupActivity"
[1613637334124],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1613637335298],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637339218],"com.nike.plusgps.coach.setup.PlanDetailActivity"
[1613637343157],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637344481],"com.nike.plusgps.runlanding.RunLandingActivity"
[1613637346589],"com.nike.plusgps.feed.FeedActivity"
[1613637354862],"com.nike.plusgps.feed.FeedActivity"
[1613637374149],"com.nike.plusgps.profile.FriendsFindingActivity"
[1613637375157],"com.nike.plusgps.profile.PreferencesActivity"
[1613637381373],"com.nike.plusgps.profile.PreferencesActivity"
[1613637383456],"com.nike.plusgps.profile.PreferencesActivity"
[1613637385414],"com.nike.plusgps.profile.PreferencesActivity"
[1613637405981],"com.nike.plusgps.profile.PreferencesActivity"
[1613637407055],"com.nike.plusgps.profile.PreferencesActivity"
[1613637413360],"com.nike.plusgps.profile.PreferencesActivity"
[1613637415112],"com.nike.plusgps.profile.PreferencesActivity"
[1613637422994],"com.nike.plusgps.profile.FriendsFindingActivity"
